Date,Close
12/13/2016,40.85
12/14/2016,40.11
12/15/2016,39.75
12/16/2016,40.03
12/19/2016,40.36
12/20/2016,40.73
12/21/2016,40.52
12/22/2016,40.81
12/23/2016,40.75
12/27/2016,40.77
12/28/2016,40.46
12/29/2016,40.83
12/30/2016,41.06
1/3/2017,40.61
1/4/2017,40.92
1/5/2017,41.29
1/6/2017,41.07
1/9/2017,41.32
1/10/2017,40.89
1/11/2017,41.09
1/12/2017,41.47
1/13/2017,41.43
1/17/2017,41.41
1/18/2017,41.37
1/19/2017,41.25
1/20/2017,41.71
1/23/2017,42.02
1/24/2017,42.11
1/25/2017,42.32
1/26/2017,40.27
1/27/2017,40.76
1/30/2017,40.45
1/31/2017,40.65
2/1/2017,40.56
2/2/2017,40.57
2/3/2017,41.06
2/6/2017,40.74
2/7/2017,41.1
2/8/2017,41.36
2/9/2017,41.56
2/10/2017,41.24
2/13/2017,41.33
2/14/2017,41.28
2/15/2017,41.94
2/16/2017,42.32
2/17/2017,48.79
2/21/2017,45.09
2/22/2017,46.75
2/23/2017,46.58
2/24/2017,46.91
2/27/2017,47.34
2/28/2017,47.33
3/1/2017,47.38
3/2/2017,46.99
3/3/2017,47.32
3/6/2017,47.31
3/7/2017,47.46
3/8/2017,47.38
3/9/2017,48.46
3/10/2017,49.03
3/13/2017,48.56
3/14/2017,48.75
3/15/2017,49.4
3/16/2017,49.84
3/17/2017,49.75
3/20/2017,50.12
3/21/2017,49.89
3/22/2017,50.13
3/23/2017,50.07
3/24/2017,50.26
3/27/2017,50.6
3/28/2017,50.5
3/29/2017,50.34
3/30/2017,49.86
3/31/2017,49.68
4/3/2017,49.62
4/4/2017,49.72
4/5/2017,49.57
4/6/2017,50
4/7/2017,50.66
4/10/2017,50.79
4/11/2017,50.9
4/12/2017,51.38
4/13/2017,51.01
4/17/2017,51.25
4/18/2017,51.31
4/19/2017,50.99
4/20/2017,51.14
4/21/2017,51
4/24/2017,52.36
4/25/2017,52.46
4/26/2017,51.98
4/27/2017,52.04
4/28/2017,52.24
5/1/2017,52.21
5/2/2017,52.78
5/3/2017,52.4
5/4/2017,52.9
5/5/2017,52.87
5/8/2017,53.47
5/9/2017,53.33
5/10/2017,53.64
5/11/2017,53.92
5/12/2017,53.74
5/15/2017,54.27
5/16/2017,54.72
5/17/2017,54.63
5/18/2017,54.37
5/19/2017,54.96
5/22/2017,55.71
5/23/2017,55.4
5/24/2017,55.82
5/25/2017,56.76
5/26/2017,56.45
5/30/2017,56.44
5/31/2017,56.78
6/1/2017,57.02
6/2/2017,57.7
6/5/2017,57.6
6/6/2017,57.44
6/7/2017,57.4
6/8/2017,56.52
6/9/2017,56.13
6/12/2017,55.48
6/13/2017,55.4
6/14/2017,55.27
6/15/2017,55.26
6/16/2017,55.91
6/19/2017,56.06
6/20/2017,55.62
6/21/2017,55.82
6/22/2017,55.6
6/23/2017,55.68
6/26/2017,56.01
6/27/2017,56.12
6/28/2017,56.42
6/29/2017,54.81
6/30/2017,55.27
7/3/2017,54.98
7/5/2017,54.85
7/6/2017,54.66
7/7/2017,54.73
7/10/2017,55.19
7/11/2017,55.51
7/12/2017,55.94
7/13/2017,56.19
7/14/2017,56.88
7/17/2017,56.87
7/18/2017,56.88
7/19/2017,56.88
7/20/2017,57.86
7/21/2017,58.12
7/24/2017,57.61
7/25/2017,57.77
7/26/2017,58.3
7/27/2017,58.27
7/28/2017,58.04
7/31/2017,58.17
8/1/2017,58.11
8/2/2017,57.94
8/3/2017,58.21
8/4/2017,58.21
8/7/2017,58.52
8/8/2017,58.57
8/9/2017,58.8
8/10/2017,57.95
8/11/2017,57.96
8/14/2017,58.41
8/15/2017,58.77
8/16/2017,58.91
8/17/2017,58.42
8/18/2017,58.53
8/21/2017,58.82
